title,published_date,summary,official_url,rss_category,match_keywords,likely_appliance_recall
Insectimo hygrometer,2026-07-22,"22 Jul 2026 Product description Hydrometer and temperature gauge for stick insects. Reason the product is recalled The product doesn’t comply with the mandatory standard for products containing button/coin batteries . The packaging is missing warning information about the dangers of button/coin batteries to children what to do when a person suspects someone has swallowed or placed a button/coin battery inside any part of their body. The hazards to consumers Children are at risk of choking, severe internal burn injuries or death if they swallow or place button or coin batteries inside their bodies. Serious injury can occur in as little as 2 hours and the results can be fatal. In Australia, children have suffered serious injuries or died from swallowing button/coin batteries. If you suspect a child has swallowed or inserted a button/coin battery: Call Triple Zero (000) if a child is having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the product immediately and keep it out of reach of children. Return the product to the place of purchase for a full refund. If you are unable to return the product to the place of purchase, contact KPHB Pty Ltd to arrange the return of the product and a full refund. Contact KPHB Pty Ltd Call: 02 9646 1242 Email: sales@happybash.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/insectimo-hygrometer,Button batteries,000 1242 2026 9646 about action and any appropriate are arrange australia available batteries battery bodies body breathing burn button call can centre child children choking coin com comply consumers contact containing dangers day death description develop died difficulty direct doesn early email facility fatal for from full gauge happybash has have having hazards hours hydrometer hygrometer immediately information injuries injury insectimo insects inserted inside internal jul keep kphb little lives ltd mandatory medical missing not occur out packaging part,maybe
Amara Heel,2026-07-17,"17 Jul 2026 Product description Women’s smooth leather court shoe (pump) with squared-off toe and 6.5cm heel height. P/O number stamped on inside of shoe and on box. Colours: Black (P/O 3685) Camel (P/O 3686) Reason the product is recalled The shoe’s heel may become detached during wear without warning. The hazards to consumers Risk of serious injury from falls if the shoe’s heel detaches while being worn. Incidents of the heel detaching have occurred. What consumers should do Stop wearing the heels immediately. Contact the FRANKIE4 Customer Care team to arrange to return the heels and receive a full refund issued to your original payment method. The return will be arranged at no cost to you. Alternatively, return the heels to any FRANKIE4 Concept Store . If you have gifted or resold your Amara heels, please pass this notice on to the person who received the heels. Contact FRANKIE4 Call (07) 3106 3351 between 9am and 5pm AEST, Monday to Friday. Email info@frankie4.com.au Visit https://frankie4.com/pages/customer-care",https://www.productsafety.gov.au/search-consumer-product-recalls/amara-heel,Jewellery and fashion accessories,2026 3106 3351 3685 3686 5cm 5pm 9am accessories aest alternatively amara and any arrange arranged become being between black box call camel care colours com concept consumers contact cost court customer description detached detaches detaching during email falls fashion frankie4 friday from full gifted have hazards heel heels height https immediately incidents info injury inside issued jewellery jul leather may method monday notice number occurred off original pages pass payment person please product pump reason recalled receive received refund,maybe
Galmet ColdGal Brushable Paint,2026-07-15,"15 Jul 2026 Product description High-purity, zinc-rich cold galvanizing paint designed to protect steel in tough conditions. available in 1L and 4L containers SKU: GGCG1L, GGCG4L Batch numbers: 190733, 191828, 190697, 192201 Best before: 11 December 2029 Reason the product is recalled The container may bulge or swell due to internal pressure build up. Contents can be expelled when the container is opened. The hazards to consumers Risk of serious injury or irritation, particularly to the eyes, from exposure to paint if it expels from the container under pressure when it is opened. An incident has occurred. What consumers should do Stop using the product immediately and visually inspect the product for any signs of bulge or swelling. When inspecting the product wear appropriate PPE including safety glasses, chemical-resistant gloves, protective clothing and enclosed safety footwear. Do not shake, drop, puncture, pierce, crush, or attempt to relieve pressure from the can. If the product shows signs of bulge or swelling do not handle the product, please contact ITW Customer Service. Contact ITW Customer Service if you have an affected container or require further assistance with identifying if your product is affected. ITW Customer Service will provide information about the refund and instructions for safe disposal of the paint. Contact ITW Polymers & Fluids call: 1800 000 945 email: customerservice@itwpf.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/galmet-coldgal-brushable-paint,Garden tools and products,000 1800 190697 190733 191828 192201 2026 2029 945 about affected and any appropriate assistance attempt available batch before best brushable build bulge call can chemical clothing cold coldgal com conditions consumers contact container containers contents crush customer customerservice december description designed disposal drop due email enclosed expelled expels exposure eyes fluids footwear for from further galmet galvanizing garden ggcg1l ggcg4l glasses gloves handle has have hazards high identifying immediately incident including information injury inspect inspecting instructions internal irritation itw,maybe
Trione in-desk power hub,2026-07-15,"15 Jul 2026 Product description Power and charging module hub designed to be installed in a desk workstation. general power outlet, USB-A port, USB-C port, 5W wireless charging pad product codes: OM-EAU5101E-BK, OM-EAU5101E-WT Electrical approval number: E2026002423 Reason the product is recalled Due to an internal fault the power hub can overheat, burn and melt. The hazards to consumers Risk of serious injury, death and/or property damage from fire or electric shock. Incidents have occurred. What consumers should do 1. Stop using affected products immediately and disconnect from the power supply. 2. Contact JasonL to arrange for one of the below remedies: a full refund with a cable cover supplied to cover the opening in your desk. a replacement product without wireless charging functionality with a partial refund. a like for like replacement product. 3. For more information or assistance with this recall, please contact JaonL Contact JasonL call: 1300 951 462 email: customerservice@jasonl.com.au visit: https://www.jasonl.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/trione-in-desk-power-hub,Power supply and storage,1300 2026 462 951 affected and approval arrange assistance below burn cable call can charging codes com consumers contact cover customerservice damage death description designed desk disconnect due e2026002423 eau5101e electric electrical email fault fire for from full functionality general have hazards https hub immediately incidents information injury installed internal jaonl jasonl jul like melt module more number occurred one opening outlet overheat pad partial please port power product products property reason recall recalled refund remedies replacement risk serious shock,maybe
"Essex, Maxim and Sierra electric recliners and sofas with heat pads - sold at Harvey Norman",2026-07-15,"15 Jul 2026 Product description Electric recliners and sofas with heat pads Essex – 231946 Maxim – 231980 Sierra – 216872 Reason the product is recalled The heat pad fitted within the affected sofas can overheat during use and may cause a fire. The hazards to consumers Risk of serious injury, death and/or property damage from the heat pads overheating or catching fire while in use. Incidents have occurred. What consumers should do Stop using the heat pad function immediately and disconnect the sofa or recliner from the power outlet. Contact Synargy to arrange assessment and repair of the heat pad. An authorised repair agent will attend the consumer’s home, inspect and replace the affected heat pad with an upgraded part, free of charge. For more information about this recall please contact Synargy. Contact Synargy Call: 07 3177 7715 from 8:30am to 5:00pm AEST, Monday to Friday. Email: heatpads@synargy.com Visit: www.synargy.com",https://www.productsafety.gov.au/search-consumer-product-recalls/essex-maxim-and-sierra-electric-recliners-and-sofas-with-heat-pads-sold-at-harvey-norman,Indoor furniture and furnishings,00pm 2026 216872 231946 231980 30am 3177 7715 about aest affected agent and arrange assessment attend authorised call can catching cause charge com consumer consumers contact damage death description disconnect during electric email essex fire fitted for free friday from function furnishings furniture harvey have hazards heat heatpads home immediately incidents indoor information injury inspect jul maxim may monday more norman occurred outlet overheat overheating pad pads part please power product property reason recall recalled recliner recliners repair replace risk,maybe
Toe warmers 2pk,2026-07-14,"14 Jul 2026 Product description Air-activated adhesive heat packs used for warming toes. Batch: 260125 Reason the product is recalled When the product is used, it may inflate and heat rapidly. The product can become very hot and burst open. The hazards to consumers Risk of serious burn injuries and irritation to the skin or eyes if the product overheats or bursts while in use. Incidents of the warmer overheating and bursting have occurred. What consumers should do Stop using the product immediately and keep it out of reach of children. If the product is still in its packaging, do not open it. Return the product to The Reject Shop for a full refund. Provide proof of purchase and/or return the unopened product or packaging where possible. Contact The Reject Shop Email: service@rejectshop.com.au Visit: https://www.rejectshop.com.au/customerservice/product-recalls",https://www.productsafety.gov.au/search-consumer-product-recalls/toe-warmers-2pk,Heating and cooling products,2026 260125 2pk activated adhesive air and batch become burn burst bursting bursts can children com consumers contact cooling customerservice description email eyes for full have hazards heat heating hot https immediately incidents inflate injuries irritation its jul keep may not occurred open out overheating overheats packaging packs possible product products proof provide purchase rapidly reach reason recalled recalls refund reject rejectshop return risk serious service shop should skin still stop the toe toes unopened use used using very visit,maybe
Toy Story 5 Collector Cup and Topper,2026-07-13,"13 Jul 2026 Product description Toy Story 5 collectable cup with character figure topper. Sold at Hoyts Cinemas. Reason the product is recalled The topper can break into small pieces and create a choking hazard for young children. The hazards to consumers Risk of serious injury or death from choking if the topper breaks into small pieces and a child swallows it. What consumers should do Stop using the cup and topper immediately and keep out of reach of children. Return the product to a Hoyts cinema or contact Hoyts to arrange a refund. For further information or assistance with this recall, please contact Hoyts. Contact Hoyts Call: 1300 146 987 (1300 1 HOYTS) Email: support@hoyts.zendesk.com Visit: www.hoyts.com.au/contact-us",https://www.productsafety.gov.au/search-consumer-product-recalls/toy-story-5-collector-cup-and-topper,Kitchenware and containers,1300 146 2026 987 and arrange assistance break breaks call can character child children choking cinema cinemas collectable collector com consumers contact containers create cup death description email figure for from further hazard hazards hoyts immediately information injury into jul keep kitchenware out pieces please product reach reason recall recalled refund return risk serious should small sold stop story support swallows the this topper toy using visit what with www young zendesk,maybe
Nuby Foldable Bathtub for babies and infants,2026-07-10,"10 Jul 2026 Product description Nuby Foldable baby bathtub Sold at ALDI GTIN: 9312552613876 SKU: 737002 Reason the product is recalled Permanent warning labels are missing, and consumers may not be aware of important safety information about the use of the product. The hazards to consumers Risk of serious injury or death from drowning if the product is not used as intended. What consumers should do Stop using the bathtub immediately. Return to an ALDI store for a full refund. Contact ALDI Call: 13 25 34 Monday to Friday, 8:30am to 5:30pm AEST. Email: customer@service.aldi.com.au Visit: https://www.aldi.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/nuby-foldable-bathtub-for-babies-and-infants,Baby bathing aids,2026 30am 30pm 737002 9312552613876 about aest aids aldi and are aware babies baby bathing bathtub call com consumers contact customer death description drowning email foldable for friday from full gtin hazards https immediately important infants information injury intended jul labels may missing monday not nuby permanent product reason recalled refund return risk safety serious service should sku sold stop store the use used using visit warning what www,maybe
Fotopro Bluetooth smartphone shutter remote,2026-07-10,"10 Jul 2026 Product description Bluetooth remote that connects to smartphones to take photographs. BT-4 model contains button battery Reason the product is recalled The remote doesn’t comply with the mandatory standards for products containing button/coin batteries . The battery isn’t secured, and children could access the button/coin battery. The packaging is missing warning information about the dangers of button/coin batteries to children what to do when a person suspects someone has swallowed or placed a button/coin battery inside any part of their body. The hazards to consumers Children are at risk of choking, severe internal burn injuries or death if they swallow or place button/coin batteries inside their bodies. Serious injury can occur in as little as 2 hours and the results can be fatal. In Australia, children have suffered serious injuries or died from swallowing button/coin batteries. If you suspect a child has swallowed or inserted a button or coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the remote immediately and keep out of reach of children. Contact Plaza Cameras Pty Ltd to arrange a full refund. Contact Plaza Cameras Pty Ltd Call: 08 9325 4040 Email: sales@plazacameras.com.au Visit: www.plazacameras.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/fotopro-bluetooth-smartphone-shutter-remote,Button batteries,000 2026 4040 9325 about access action and any appropriate are arrange australia available batteries battery bleeding bluetooth bodies body breathing burn button call cameras can centre child children choking coin com comply connects consumers contact containing contains could dangers day death description develop died difficulty direct doesn early email facility fatal for fotopro from full has have having hazards hours immediately information injuries injury inserted inside internal isn jul keep little lives ltd mandatory medical missing model not occur,maybe
"Think, Feel, Do Sensory Bear",2026-07-09,"9 Jul 2026 Product description Weighted bear used as a sensory tool. Reason the product is recalled The product does not comply with the mandatory standard for toys for children up to and including 36 months of age . The seams of the bear may separate and release the small weighted pellets. The hazards to consumers There is a risk of serious injury or death by choking if small pellets are released from the toy and a child places them in their mouth. An incident of seam failure has occurred. What consumers should do Stop using the bear immediately and place it out of reach of children. Contact info@curijo.com.au to arrange to return the product and receive a full refund, or if you have any questions about the recall. Contact Curijo Call: 02 6285 4802 Email: info@curijo.com.au Visit: https://www.curijo.com.au/contact-us/",https://www.productsafety.gov.au/search-consumer-product-recalls/think-feel-do-sensory-bear,Stuffed and plush toys,2026 4802 6285 about age and any are arrange bear call child children choking com comply consumers contact curijo death description does email failure feel for from full has have hazards https immediately incident including info injury jul mandatory may months mouth not occurred out pellets place places plush product questions reach reason recall recalled receive refund release released return risk seam seams sensory separate serious should small standard stop stuffed the their them there think tool toy toys used,maybe
The 2026 $2 Uncirculated Coin – Tooth Fairy Kit,2026-07-07,"7 Jul 2026 Product description The 2026 $2 Uncirculated Coin – Tooth Fairy Kit is a kit that includes the following items: coloured $2 tooth fairy coin case toothbrush tooth chart Reason the product is recalled The plastic case component of the product may emit a strong chemical odour. The hazards to consumers Risk of irritation or injury if the chemical odour is inhaled. What consumers should do Stop using the product immediately and keep out of reach of children. Return the product to the place of purchase for a full refund or a replacement product. If a customer wishes to keep the coin, they are advised to return the case and the other components for a partial refund. Contact the Royal Australian Mint for further information or instructions on the refund and replacement process. Contact Royal Australian Mint Call: 02 6202 6999 Email info@ramint.gov.au Visit https://www.ramint.gov.au/",https://www.productsafety.gov.au/search-consumer-product-recalls/the-2026-2-uncirculated-coin-%E2%80%93-tooth-fairy-kit,Learning and activity toys,2026 6202 6999 activity advised and are australian call case chart chemical children coin coloured component components consumers contact customer description email emit fairy following for full further gov hazards https immediately includes info information inhaled injury instructions irritation items jul keep kit learning may mint odour other out partial place plastic process product purchase ramint reach reason recalled refund replacement return risk royal should stop strong that the they tooth toothbrush toys uncirculated using visit what wishes www,maybe
"Apeks XL4, XL4+ and Ocea scuba diving second-stage regulator",2026-07-06,"6 Jul 2026 Product description Apeks scuba diving second-stage regulators: XL4 XL4+ Ocea Serial number range: 250402212 to 260402893 Reason the product is recalled A manufacturing defect in the affected second-stage regulators can restrict the flow of breathing gas at depths exceeding 45 metres. The regulator may not deliver sufficient breathing gas when required. The hazards to consumers Risk of death or serious injury from asphyxiation if the regulator does not supply adequate air to a diver when used. What consumers should do Stop using affected regulators immediately. Do not use the regulator until it has been inspected and verified as safe to use. Please return the regulator to the place of purchase or an authorised Apeks service centre. Affected regulators will be inspected and, if necessary, repaired free of charge by qualified technicians using approved Apeks replacement components. If you are unsure whether your regulator is affected, please contact your local Apeks dealer for customer support or further assistance. Contact HEAD OCEANIA PTY LIMITED t/s ZOGGS AUSTRALIA call: (02) 9453 2000 (Dial 1) email info@au.mares.com and RecallXL4@aqualung.com visit: https://au.apeksdiving.com/pages/store-locator",https://www.productsafety.gov.au/search-consumer-product-recalls/apeks-xl4-xl4-and-ocea-scuba-diving-second-stage-regulator,Diving,2000 2026 250402212 260402893 9453 adequate affected air and apeks apeksdiving approved aqualung are asphyxiation assistance australia authorised been breathing call can centre charge com components consumers contact customer dealer death defect deliver depths description dial diver diving does email exceeding flow for free from further gas has hazards head https immediately info injury inspected jul limited local locator manufacturing mares may metres necessary not number ocea oceania pages place please product pty purchase qualified range reason recalled recallxl4 regulator,maybe
"8.5"" LCD writing tablet",2026-07-06,"6 Jul 2026 Product description LCD drawing and writing tablet for children. Reason the product is recalled The tablet doesn’t comply with the mandatory standards for products containing button/coin batteries . The battery isn’t secured, and children could access the button/coin battery. The tablet is missing the warning symbol and warning information about the dangers of button/coin batteries to children what to do when a person suspects someone has swallowed or placed a button/coin battery inside any part of their body. The hazards to consumers Children are at risk of choking, severe internal burn injuries or death if they swallow or place button/coin batteries inside their bodies. Serious injury can occur in as little as 2 hours and the results can be fatal. In Australia, children have suffered serious injuries or died from swallowing button/coin batteries. If you suspect a child has swallowed or inserted a button or coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the tablet immediately and place out of reach of children. Return the tablet to CMA Australia Pty Ltd or the place of purchase for a full refund. Contact CMA Australia Pty Ltd call: 03 9532 0080 email: cmamelbourne@gmail.com",https://www.productsafety.gov.au/search-consumer-product-recalls/85-lcd-writing-tablet,Button batteries,000 0080 2026 9532 about access action and any appropriate are australia available batteries battery bleeding bodies body breathing burn button call can centre child children choking cma cmamelbourne coin com comply consumers contact containing could dangers day death description develop died difficulty direct doesn drawing early email facility fatal for from full gmail has have having hazards hours immediately information injuries injury inserted inside internal isn jul lcd little lives ltd mandatory medical missing not occur out part person,maybe
Courant Kalimba arborist rope range,2026-07-03,"3 Jul 2026 Product description Tree climbing and tree pruning access rope. Ropes are supplied in varying lengths, with an eye splice at either one or both ends. Model numbers: MH730JZC040 MH730JZC045 MH730JZC060 MH730MCC045 MH730MCC060 MH730PDC045 MH730PDC060 MH740JZC0606 Reason the product is recalled The integrity of the splice construction of the rope may fail under load when used. The hazards to consumers Risk of serious injury or death from a fall if the product fails when used. What consumers should do Stop using the rope immediately. Return the rope to the place of purchase for a refund or to register for a replacement. Contact Ronstan for further information about this recall or assistance. Contact Ronstan Call: 03 8586 2001 Email: sales@ronstan.com.au Visit: https://www.ronstan.com",https://www.productsafety.gov.au/search-consumer-product-recalls/courant-kalimba-arborist-rope-range,Garden tools and products,2001 2026 8586 about access and arborist are assistance both call climbing com construction consumers contact courant death description either email ends eye fail fails fall for from further garden hazards https immediately information injury integrity jul kalimba lengths load may mh730jzc040 mh730jzc045 mh730jzc060 mh730mcc045 mh730mcc060 mh730pdc045 mh730pdc060 mh740jzc0606 model numbers one place product products pruning purchase range reason recall recalled refund register replacement return risk ronstan rope ropes sales serious should splice stop supplied the this tools tree under,maybe
"12"" LCD writing tablet",2026-07-03,"3 Jul 2026 Product description LCD writing tablet for children. Reason the product is recalled The tablet doesn’t comply with the mandatory standards for products containing button/coin batteries . The product has not been tested. The packaging is missing warning information about: the dangers of button/coin batteries to children what to do when a person suspects someone has swallowed or placed a button/coin battery inside any part of their body. The hazards to consumers Children are at risk of choking, severe internal burn injuries or death if they swallow or place button or coin batteries inside their bodies. Serious injury can occur in as little as 2 hours and the results can be fatal. In Australia, children have suffered serious injuries or died from swallowing button/coin batteries. If you suspect a child has swallowed or inserted a button/coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop What consumers should do Stop using the product immediately and keep out of reach of children. Contact Fidget & Co. via email info@fidgetandco.com.au to arrange a full refund. Contact Fidget & Co. call: 0411 137 374 email: info@fidgetandco.com.au",https://www.productsafety.gov.au/search-consumer-product-recalls/12-lcd-writing-tablet,Button batteries,000 0411 137 2026 374 about action and any appropriate are arrange australia available batteries battery been bleeding bodies body breathing burn button call can centre child children choking coin com comply consumers contact containing dangers day death description develop died difficulty direct doesn early email facility fatal fidget fidgetandco for from full has have having hazards hours immediately info information injuries injury inserted inside internal jul keep lcd little lives mandatory medical missing not occur out packaging part person,maybe
2 Ton Low Profile Fiernero Branded Hydraulic Trolley Jack,2026-07-03,3 Jul 2026 Product description Hydraulic trolley jack listed as having 2000kg working load limit. model: OY1052L Fienero brand affected batch numbers: 2TLWPROJACK010 and 2TLWPROJACK011 SKU: 2TLWPROJACK Reason the product is recalled This trolley jack does not comply with the performance requirements of the mandatory standard for trolley jacks . The jack does not have a 2000kg lifting capacity and has been mislabelled. It may fail during use if a consumer attempts to use it to lift weights above 1200kg. The hazards to consumers Risk of serious injury or death from crushing injury if the jack fails while in use. What consumers should do Stop using affected jacks immediately. Contact Trade Hero Australia to arrange for the return of the jack and a full refund. Contact Trade Hero Australia Call: 03 7073 2229 Email: recalls@fiernero.com.au Visit: https://fiernero.com.au/pages/recall,https://www.productsafety.gov.au/search-consumer-product-recalls/2-ton-low-profile-fiernero-branded-hydraulic-trolley-jack,Tools and machinery,1200kg 2000kg 2026 2229 2tlwprojack 2tlwprojack010 2tlwprojack011 7073 above affected and arrange attempts australia batch been brand branded call capacity com comply consumer consumers contact crushing death description does during email fail fails fienero fiernero for from full has have having hazards hero https hydraulic immediately injury jack jacks jul lift lifting limit listed load low machinery mandatory may mislabelled model not numbers oy1052l pages performance product profile reason recall recalled recalls refund requirements return risk serious should sku standard,maybe
Personalised bling dummy and clip set,2026-07-01,1 Jul 2026 Product description Dummy and clip set that can be personalised with a child’s name and includes crystal and rhinestone decorations. Reason the product is recalled The dummy and clip set does not comply with the mandatory standard for baby dummies and dummy chains . The decorations may detach from the dummy and clip. The dummy’s chain is too long. The hazards to consumers Risk of serious injury or death from choking or suffocation if a baby places the detached decorations in their mouth. Risk of serious injury or death from strangulation if the dummy’s chain wraps around a baby’s neck What consumers should do Stop using the dummy and clip sets immediately and keep out of reach of children. Contact Panny & Mody directly via the eBay messaging system to arrange a full refund. Destroy and dispose of the dummy and clip set safely. Contact Panny & Mody Email: goodzau@yahoo.com,https://www.productsafety.gov.au/search-consumer-product-recalls/personalised-bling-dummy-and-clip-set,Dummies and soothers,2026 and around arrange baby bling can chain chains child children choking clip com comply consumers contact crystal death decorations description destroy detach detached directly dispose does dummies dummy ebay email for from full goodzau hazards immediately includes injury jul keep long mandatory may messaging mody mouth name neck not out panny personalised places product reach reason recalled refund rhinestone risk safely serious set sets should soothers standard stop strangulation suffocation system that the their too using via what with,maybe
Neon wall lamp,2026-07-01,"1 Jul 2026 Product description USB rechargeable neon wall lamp in assorted shapes. The packaging contains a ‘try me’ function powered by a button battery. Product number: CX3900250 Reason the product is recalled The product doesn’t comply with the mandatory standards for products containing button/coin batteries . The product was not tested prior to sale and is missing warning information about the dangers of button/coin batteries to children what to do when a person suspects someone has swallowed or placed a button/coin battery inside any part of their body. The hazards to consumers Children are at risk of choking, severe internal burn injuries or death if they swallow or place button/coin batteries inside their bodies. Serious injury can occur in as little as 2 hours and the results can be fatal. In Australia, children have suffered serious injuries or died from swallowing button/coin batteries. If you suspect a child has swallowed or inserted a button or coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop. What consumers should do Stop using the product immediately and keep out of reach of children. Return the product to the place of purchase for a full refund. Contact Yatsal Distributors Pty Ltd call: 02 9755 8705 between 9am and 4:30pm AEST, Monday to Friday email: adrian@yatsal.com.au visit: www.yatsal.com.au/contact",https://www.productsafety.gov.au/search-consumer-product-recalls/neon-wall-lamp,Button batteries,000 2026 30pm 8705 9755 9am about action adrian aest and any appropriate are assorted australia available batteries battery between bleeding bodies body breathing burn button call can centre child children choking coin com comply consumers contact containing contains cx3900250 dangers day death description develop died difficulty direct distributors doesn early email facility fatal for friday from full function has have having hazards hours immediately information injuries injury inserted inside internal jul keep lamp little lives ltd mandatory medical missing,maybe
Assorted travel adaptors - sold at Big W,2026-06-30,"30 Jun 2026 Product description Travel adaptors for use with the below plugs with no power conversion: Europe to Australia - Adaptor EU to Aus/NZ USA to Australia - Adaptor USA to Aus/NZ UK to Australia - Adaptor UK to Aus/NZ Only products with markings '-16' and '-17' are affected by this recall. These markings are on the rear of the adaptor. Reason the product is recalled The adaptors do not meet Australian Electrical Safety Requirements as the plug pins are uninsulated and they do not have the required Australian Regulatory Compliance Mark. The hazards to consumers Risk of serious injury or death from electric shock from uninsulated plug pins. Risk of property damage if the product catches fire. What consumers should do Consumers should immediately stop using the adaptors and disconnect from power supply and appliances. Return the adaptor to any BIG W store for a full refund, or contact recall@clgroup.au to arrange the return of the product and refund. Contact CL Group call: 08 8340 1600 email: recall@clgroup.au Visit: https://www.clgroup.au",https://www.productsafety.gov.au/search-consumer-product-recalls/assorted-travel-adaptors-sold-at-big-w,"Computers, laptops and accessories",1600 2026 8340 accessories adaptor adaptors affected and any appliances are arrange assorted aus australia australian below big call catches clgroup compliance computers consumers contact conversion damage death description disconnect electric electrical email europe fire for from full group have hazards https immediately injury jun laptops mark markings meet not only pins plug plugs power product products property rear reason recall recalled refund regulatory required requirements return risk safety serious shock should sold stop store supply the these they this,maybe
7kW EV Charger,2026-06-29,"29 Jun 2026 Product description 7kW home wall charger for electric vehicle charging, with lead, in two lengths: 5m 10m Reason the product is recalled The product does not comply with Australian electrical safety standards. The hazards to consumers Risk of death, serious injury from electric shock or fire, including property damage. What consumers should do Do not use the charger and turn it off immediately. Contact a licenced electrician to have it uninstalled. Contact AUPK for a full refund of the product that also includes the initial installation and uninstallation costs for this product. When contacting AUPK for your refund, provide: Electrician’s receipt for the installation and uninstallation of the product. Evidence of the product being destroyed and disposed of in accordance with local e-waste regulations. For more information or assistance with this recall and the refund process, please contact AUPK. Contact AUPK Call 0425 281 799 from 9am to 5pm AEST, Monday to Friday Email: support@aupk.au Visit: https://www.aupk.au/pages/contact-us",https://www.productsafety.gov.au/search-consumer-product-recalls/7kw-ev-charger,Power supply and storage,0425 10m 2026 281 5pm 799 7kw 9am accordance aest also and assistance aupk australian being call charger charging comply consumers contact contacting costs damage death description destroyed disposed does electric electrical electrician email evidence fire for friday from full have hazards home https immediately includes including information initial injury installation jun lead lengths licenced local monday more not off pages please power process product property provide reason recall recalled receipt refund regulations risk safety serious shock should standards storage,maybe
Draw n Wipe Tablet – sold at Bunnings,2026-06-26,"26 Jun 2026 Product description LCD tablet writing/drawing tablet designed for children with magnetic backing for attaching to fridges, whiteboards. available in pink and black sold at Bunnings SKU: 1083687, 1083688 Reason the product is recalled The tablet doesn’t comply with the mandatory standards for products containing button/coin batteries . The packaging is missing warning information about: the dangers of button/coin batteries to children what to do when a person suspects someone has swallowed or placed a button/coin battery inside any part of their body. The hazards to consumers Children are at risk of choking, severe internal burn injuries or death if they swallow or place button or coin batteries inside their bodies. Serious injury can occur in as little as 2 hours and the results can be fatal. In Australia, children have suffered serious injuries or died from swallowing button/coin batteries. If you suspect a child has swallowed or inserted a button/coin battery: Call Triple Zero (000) if your child is bleeding or having any difficulty breathing. Call the Poisons Information Centre immediately on 13 11 26, available 24 hours a day. They can direct you to an appropriate medical facility. Early action can save lives. Do not wait for symptoms to develop What consumers should do Stop using the product immediately and keep out of reach of children. Return the products to a Bunnings store for a replacement product. Contact Smartwares for further information. Contact Smartwares Australia Pty Ltd call: 03 8773 4455 email: sales@smartwares.com.au visit: https://smartwares.com.au/",https://www.productsafety.gov.au/search-consumer-product-recalls/draw-n-wipe-tablet-%E2%80%93-sold-at-bunnings,Button batteries,000 1083687 1083688 2026 4455 8773 about action and any appropriate are attaching australia available backing batteries battery black bleeding bodies body breathing bunnings burn button call can centre child children choking coin com comply consumers contact containing dangers day death description designed develop died difficulty direct doesn draw drawing early email facility fatal for fridges from further has have having hazards hours https immediately information injuries injury inserted inside internal jun keep lcd little lives ltd magnetic mandatory medical,maybe
Scented flower shaped candle bouquets – various styles,2026-06-26,26 Jun 2026 Product description Scented candles shaped like flowers in various styles. Reason the product is recalled These products do not comply with the permanent ban on combustible candle holders . The affected candles contain wicks and dried flowers that present a fire risk. The hazards to consumers Risk of serious injury and/or property damage from burns if the candle causes a fire. An incident has occurred. What consumers should do Stop using these candles immediately. Contact Morie to arrange for a replacement wickless wax bouquet or a full refund. Contact Morie call: 0422 550 887 email: contactusatmorie@gmail.com visit: https://www.morie.com.au/,https://www.productsafety.gov.au/search-consumer-product-recalls/scented-flower-shaped-candle-bouquets-%E2%80%93-various-styles,"Decorations, candles and novelties",0422 2026 550 887 affected and arrange ban bouquet bouquets burns call candle candles causes com combustible comply consumers contact contactusatmorie contain damage decorations description dried email fire flower flowers for from full gmail has hazards holders https immediately incident injury jun like morie not novelties occurred permanent present product products property reason recalled refund replacement risk scented serious shaped should stop styles that the these using various visit wax what wickless wicks with www,maybe
